,Shape##other##,W##other##,A##area##inches,Ht##length##inches,b##length##inches,t##length##inches
HSS12X12X3/16,Square,29.800,8.150,12.000,12.000,0.174
HSS12X10X1/2,Rect.,69.100,19.000,12.000,10.000,0.465
HSS12X10X3/8,Rect.,52.900,14.600,12.000,10.000,0.349
HSS12X10X5/16,Rect.,44.600,12.200,12.000,10.000,0.291
HSS12X10X1/4,Rect.,36.000,9.900,12.000,10.000,0.233
HSS12X8X5/8,Rect.,76.100,21.000,12.000,8.000,0.581
HSS12X8X1/2,Rect.,62.300,17.200,12.000,8.000,0.465
HSS12X8X3/8,Rect.,47.800,13.200,12.000,8.000,0.349
HSS12X8X5/16,Rect.,40.400,11.100,12.000,8.000,0.291
HSS12X8X1/4,Rect.,32.600,8.960,12.000,8.000,0.233
HSS12X8X3/16,Rect.,24.800,6.760,12.000,8.000,0.174
HSS12X6X5/8,Rect.,67.600,18.700,12.000,6.000,0.581
HSS12X6X1/2,Rect.,55.500,15.300,12.000,6.000,0.465
HSS12X6X3/8,Rect.,42.700,11.800,12.000,6.000,0.349
HSS12X6X5/16,Rect.,36.100,9.920,12.000,6.000,0.291
HSS12X6X1/4,Rect.,29.200,8.030,12.000,6.000,0.233
HSS12X6X3/16,Rect.,22.200,6.060,12.000,6.000,0.174
HSS12X4X5/8,Rect.,59.100,16.400,12.000,4.000,0.581
HSS12X4X1/2,Rect.,48.700,13.500,12.000,4.000,0.465
HSS12X4X3/8,Rect.,37.600,10.400,12.000,4.000,0.349
HSS12X4X5/16,Rect.,31.800,8.760,12.000,4.000,0.291
HSS12X4X1/4,Rect.,25.800,7.100,12.000,4.000,0.233
HSS12X4X3/16,Rect.,19.700,5.370,12.000,4.000,0.174
HSS12X3-1/2X3/8,Rect.,36.300,10.000,12.000,3.500,0.349
HSS12X3-1/2X5/16,Rect.,30.800,8.460,12.000,3.500,0.291
HSS12X3X5/16,Rect.,29.700,8.170,12.000,3.000,0.291
HSS12X3X1/4,Rect.,24.100,6.630,12.000,3.000,0.233
HSS12X3X3/16,Rect.,18.400,5.020,12.000,3.000,0.174
HSS12X2X5/16,Rect.,27.600,7.590,12.000,2.000,0.291
